%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,-8.733196319106675e-12,-3.662294509124672e-11,0.5800000000060662,8.225171906630531e-13,-1.30539513704968e-12,1.381571851616406e-12,1.0,-3.886736290300847e-12,-6.5641100358305e-12,1.1522292770596064e-11,5.392956410686937e-13,-7.498576343815443e-13,3.997370687359228e-13,-3.9596180071002317e-13,5.067008378679556e-13,-1.8135816255540076e-12,-4.4787088622948763e-14,-7.686567777930711e-14,2.1567870706734466e-14,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.7030562672358664,5.522963263213337,214.35352977930978,0.6645191799377866,-6.834440442700213,192.62244520909823,-0.6988676143672438,-0.3634286049438685,192.6224451692953,0.737404701610166,1.6749057845326614,214.35352984196365,1,1,1,1
2501000,2500000,7.982938700903188e-08,-9.627123101106448e-08,0.5799999957535296,8.265769016674943e-08,5.788080703598798e-08,1.1487739966375876e-08,0.9999999999999949,9.559727168308052e-05,-0.0001152518394680023,-5.059187649955739e-06,0.0001979784532894016,0.0001385108990899405,2.7430574009296946e-05,0.07614425191655629,-0.09183398298989427,-0.00397715245822061,0.15774591616849215,0.11015884606506694,0.021725753295879023,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.3954601957040762,5.233565438736019,212.41569377976396,1.9520392172863619,-9.482844243570458,187.53872050857956,-0.592233101643406,-0.31470721220060344,212.67905395665028,4.272367332633428,0.2843413516747246,194.97819916337508,1,1,1,1
5001000,5000000,6.345266800063188e-07,-7.653198473459826e-07,0.5799999668631867,6.57275459393242e-07,4.589939064389565e-07,9.052524329819282e-08,0.9999999999996745,0.0003790534129975796,-0.0004573325048449504,-1.953471637998721e-05,0.0007855453026641582,0.0005475449304101161,0.0001075348829571167,0.15028709259534986,-0.18146306597793793,-0.007533063648039953,0.3116706934511511,0.21641853958541607,0.04213881226690866,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.11330868688211496,4.6930249720884305,210.07878162448142,3.0725834764831657,-12.038904321019675,182.54467067731844,-0.2857935559140402,-0.17501788921240827,270.20735028792234,7.779737623083697,-1.2185593833963744,176.93050014619448,1,1,1,1
7501000,7500000,2.1274759000380015e-06,-2.567364240625118e-06,0.5799998911105924,2.2048690065119326e-06,1.5353996108476324e-06,3.0090430166281385e-07,0.9999999999963453,0.0008453648919613645,-0.001020729752689061,-4.237347150133244e-05,0.0017531474701807054,0.0012173545469131631,0.00023702946463806339,0.22242852203598482,-0.2688872489636243,-0.010667733571271609,0.46177412663825085,0.31877937847862103,0.06123763633997207,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.8090056624704153,3.9180077068121273,207.38280331516324,4.030391699111102,-14.503523453289487,177.6406899852533,0.2002550341576334,0.04592708115831685,361.24503911692216,11.257403427839847,-2.828213946989031,160.179672972641,1,1,1,1
10001000,10000000,5.0095609811080485e-06,-6.048805554509012e-06,0.5799997489040598,5.194511483798954e-06,3.606975650427513e-06,7.023081220591644e-07,0.9999999999797567,0.0014895281804790383,-0.001799931332994441,-7.252234984752219e-05,0.0030912312223062297,0.002138193159276274,0.0004126258556587867,0.2925685402384611,-0.35410653194695335,-0.013381162227915576,0.6080559006361841,0.4172418257173505,0.07901978302290716,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.6773860130085334,2.9251794864486627,204.3677688535104,4.8297036267530755,-16.877604418621512,172.82717270232268,0.845716679908394,0.33841541604917186,481.8298253974604,14.70325260178075,-4.539039865411642,144.69495782493365,1,1,1,1
12501000,12500000,9.719157036981937e-06,-1.1742264307643472e-05,0.5799995232846599,1.008333335021253e-05,6.9814172867347655e-06,1.350305134184377e-06,0.9999999999238814,0.0023065397504552047,-0.002789424995755198,-0.00010892824825208726,0.0047902419232907925,0.003300315513074694,0.0006310284674216991,0.36070714720277874,-0.4371209149279252,-0.015673349617971857,0.7505156123081981,0.5118064817405769,0.09548201166655532,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7042050204441783,1.7312061545395927,201.07368824122392,5.474759000991991,-19.162049995257377,168.104513098465,1.6303953926750214,0.6927348325977567,627.9994140833479,18.115172999785287,-6.345454664972604,130.44559488529163,1,1,1,1
15001000,15000000,1.6682130361186652e-05,-2.016658039365957e-05,0.5799991999262212,1.7316521135360558e-05,1.1954239143317185e-05,2.296338949493598e-06,0.9999999997759805,0.003291396073794467,-0.003983698490965437,-0.00015053806354855845,0.006840623841148025,0.00469397799910303,0.0008889327170399891,0.4268443429289377,-0.5179303979065397,-0.017544295741440456,0.88915279115041,0.6024740579606378,0.11062038396756035,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.875217966725058,0.35275355462647073,197.54057148000484,5.96979756341075,-21.357762961438688,163.47310544361875,2.5340951837942947,1.099173047941671,795.7915101283952,21.491052476732325,-8.241875871980312,117.4008243359339,1,1,1,1
17501000,17500000,2.631183842701069e-05,-3.1826813081173655e-05,0.5799987671353305,2.7327316004156515e-05,1.8808777358406622e-05,3.5877161769826173e-06,0.999999999443288,0.004439093622401427,-0.0053772395686192635,-0.0001962986925704664,0.00923282000386214,0.006309438898833897,0.0011830234054356018,0.490980127416938,-0.5965349808827969,-0.01899400059832136,1.023966918795979,0.6892453513660636,0.12443036121194483,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.17618013379888,-1.193512469749147,193.8084285715542,6.319059055592261,-23.46564609540707,158.9333440077225,3.5366200646029924,1.5480177792185146,981.2438184864128,24.82877888750074,-10.222721012743158,105.52988635907964,1,1,1,1
20001000,20000000,3.9009129887504044e-05,-4.721424101378731e-05,0.5799982158513328,4.053701218589596e-05,2.78161919736721e-05,5.267592408923392e-06,0.9999999987776312,0.00574462886818069,-0.0069645359787107895,-0.0002451570321513422,0.011957272102886617,0.008136958567753469,0.0015099733344721394,0.5531145006667795,-0.6729346638566966,-0.020022464188614586,1.1549574473439468,0.7721212202202763,0.13690689825947058,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,6.592846803613354,-2.890926075045704,189.91726951757303,6.526783219119425,-25.48660217540415,154.48562306071463,4.617774046437894,2.0295567435658874,1180.3940441112118,28.126240086969393,-12.282407613569541,94.80202113694791,1,1,1,1
22501000,22500000,5.5162344575478215e-05,-6.680636221008741e-05,0.5799975396463304,5.735495532775793e-05,3.9235469476205395e-05,7.374956679554938e-06,0.9999999975582985,0.007202998283036859,-0.008740075471234116,-0.0002960599791247163,0.015004420440995142,0.010166799559313771,0.0018664421549746536,0.6132474626784625,-0.7471294468282392,-0.02062968651232013,1.2821238165124496,0.8511025608563553,0.14804453426879752,0.31,0.29,-1.3052101792454085e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.29,-3.229998949212782e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.29,-2.4985574743913433e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.29,5.037027275051731e-12,0.0,0.0,0.0,0.0,0.0,0.0,8.11097325811619,-4.722821417721651,185.90710431976234,6.5972097955751465,-27.42153397967154,150.13033687253366,5.757361140635782,2.53407765812139,1389.2798919566026,31.381323930017178,-14.415353200767859,85.18646885175781,1,1,1,1
